File: src/domains/deployment-orchestration/pipelines/pipeline-orchestrator-fsm/pipeline-orchestratorCore.ts | Line: 9 | Missing: ./pipeline-orchestratorCoreFacade
File: src/domains/deployment-orchestration/pipelines/pipeline-orchestrator-fsm/pipeline-orchestratorFacade.ts | Line: 4 | Missing: ./PipelineOrchestratorCore
File: src/domains/deployment-orchestration/pipelines/pipeline-orchestrator-fsm/pipeline-orchestratorFacade.ts | Line: 5 | Missing: ./PipelineOrchestratorStateMachine
File: src/domains/ec/frameworks/ISO27001MapperFSM.ts | Line: 7 | Missing: ~types/ISO27001Types
File: src/domains/ec/frameworks/ISO27001MapperFSM.ts | Line: 8 | Missing: ./states/InitializationStateHandler
File: src/domains/ec/frameworks/ISO27001MapperFSM.ts | Line: 9 | Missing: ./states/AssessmentStateHandler
File: src/domains/ec/frameworks/ISO27001MapperFSM.ts | Line: 10 | Missing: ./states/ValidationStateHandler
File: src/domains/ec/frameworks/ISO27001MapperFSM.ts | Line: 11 | Missing: ./states/ReportingStateHandler
File: src/domains/ec/frameworks/ISO27001MapperFSM.ts | Line: 12 | Missing: ./core/ISO27001ErrorHandler
File: src/domains/ec/frameworks/ISO27001MapperFSM.ts | Line: 13 | Missing: ./core/ISO27001TransitionGuard
File: src/domains/github-actions/workflow-optimizer-real.ts | Line: 8 | Missing: ./workflow-optimizer-realFacade
File: src/domains/github-actions/workflow-optimizer-real.ts | Line: 9 | Missing: ./workflow-optimizer-realFacade
File: src/domains/quality-gates/index.ts | Line: 100 | Missing: ./monitoring/PerformanceOverheadValidator
File: src/domains/quality-gates/index.ts | Line: 106 | Missing: ./monitoring/PerformanceOverheadValidator
File: src/domains/quality-gates/integrations/ArtifactSystemIntegrationFSM.ts | Line: 8 | Missing: ./ArtifactSystemIntegrationFSMFacade
File: src/domains/quality-gates/integrations/ArtifactSystemIntegrationFSM.ts | Line: 9 | Missing: ./ArtifactSystemIntegrationFSMFacade
File: src/domains/quality-gates/monitoring/PerformanceOverheadValidator-fsm/PerformanceOverheadValidatorCore.ts | Line: 8 | Missing: ./PerformanceOverheadValidatorCoreFacade
File: src/domains/quality-gates/monitoring/PerformanceOverheadValidator-fsm/PerformanceOverheadValidatorCore.ts | Line: 9 | Missing: ./PerformanceOverheadValidatorCoreFacade
File: src/dspy-integration/templates/MasterAgentTemplate.ts | Line: 6 | Missing: dspy
File: src/events/fsm/components/EventAggregator.ts | Line: 8 | Missing: ./EventAggregatorFacade
File: src/events/fsm/components/EventAggregator.ts | Line: 9 | Missing: ./EventAggregatorFacade
File: src/events/fsm/components/EventLogger.ts | Line: 8 | Missing: ./EventLoggerFacade
File: src/events/fsm/components/EventLogger.ts | Line: 9 | Missing: ./EventLoggerFacade
File: src/events/fsm/components/EventRouter.ts | Line: 14 | Missing: ~types/EventFSMTypes
File: src/events/fsm/components/EventValidator.ts | Line: 8 | Missing: ./EventValidatorFacade
File: src/events/fsm/components/EventValidator.ts | Line: 9 | Missing: ./EventValidatorFacade
File: src/events/fsm/core/EventTransitionHub.ts | Line: 15 | Missing: ~types/EventFSMTypes
File: src/events/fsm/facade/EventFSM.ts | Line: 8 | Missing: ./EventFSMFacade
File: src/events/fsm/facade/EventFSM.ts | Line: 9 | Missing: ./EventFSMFacade
File: src/fsm/FSMOrchestrator.ts | Line: 8 | Missing: ./FSMOrchestratorFacade
File: src/fsm/FSMOrchestrator.ts | Line: 9 | Missing: ./FSMOrchestratorFacade
File: src/fsm/monitoring/StateTransitionMonitor.ts | Line: 8 | Missing: ./StateTransitionMonitorFacade
File: src/fsm/monitoring/StateTransitionMonitor.ts | Line: 9 | Missing: ./StateTransitionMonitorFacade
File: src/fsm/orchestration/StateHistoryManager.ts | Line: 8 | Missing: ./StateHistoryManagerFacade
File: src/fsm/orchestration/StateHistoryManager.ts | Line: 9 | Missing: ./StateHistoryManagerFacade
File: src/fsm/princesses/quality-components/QualityPrincessStateMachine.ts | Line: 5 | Missing: ./QualityPrincessStateMachineFacade
File: src/fsm/princesses/quality-components/QualityPrincessStateMachine.ts | Line: 6 | Missing: ./QualityPrincessStateMachineFacade
File: src/fsm/princesses/services/SecurityMonitoringService.ts | Line: 5 | Missing: ./SecurityMonitoringServiceFacade
File: src/fsm/princesses/services/SecurityMonitoringService.ts | Line: 6 | Missing: ./SecurityMonitoringServiceFacade
